                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8111,                 4.0427,                 1.2231,                0.02989,                0.73547,                0.22866,                0.14727,                 1.0771,                 3.9371,                0.91128,             0.00019084,             0.00019084,             0.00019084
                      2,                 1.4342,                 2.4894,                 0.9913,                0.71928,                0.22858,                0.38036,                 0.2571,                 1.1009,                 2.6642,                0.94699,             0.00038301,             0.00038301,             0.00038301
                      3,                  1.339,                 1.8174,                0.99611,                0.41594,                0.38648,                0.45368,                 0.2812,                  1.154,                 1.7092,                0.96849,              0.0005713,              0.0005713,              0.0005713
                      4,                 1.2644,                  1.489,                0.97267,                0.68172,                0.51581,                0.59207,                0.42312,                  1.029,                 1.3854,                0.92919,             0.00057054,             0.00057054,             0.00057054
                      5,                 1.2439,                   1.42,                0.96376,                0.58615,                0.72119,                 0.7463,                0.50217,                  1.113,                 1.1409,                0.93404,             0.00057054,             0.00057054,             0.00057054
                      6,                 1.2032,                 1.2257,                0.95313,                 0.6944,                0.85672,                0.84268,                0.61418,                0.97329,                 1.1276,                0.90926,             0.00056472,             0.00056472,             0.00056472
                      7,                 1.1924,                 1.1135,                0.95795,                0.77826,                0.81903,                0.88285,                0.60101,                 1.1449,                 1.0198,                0.94432,             0.00055889,             0.00055889,             0.00055889
                      8,                 1.1446,                 1.0364,                 0.9354,                0.91544,                0.87674,                0.94992,                0.70159,                0.96519,                0.87952,                0.90752,             0.00055307,             0.00055307,             0.00055307
                      9,                 1.0996,                0.97393,                0.93172,                0.89755,                0.87239,                0.95862,                0.74193,                0.87706,                0.91529,                0.89848,             0.00054725,             0.00054725,             0.00054725
                     10,                 1.0909,                0.93323,                0.93485,                0.92474,                0.91428,                0.97824,                0.74392,                0.91335,                 0.7885,                0.89783,             0.00054143,             0.00054143,             0.00054143
                     11,                  1.132,                0.90336,                0.93788,                0.93633,                0.95536,                0.97851,                0.75069,                0.90277,                0.73604,                0.90041,             0.00053561,             0.00053561,             0.00053561
                     12,                 1.0689,                 0.8502,                0.92631,                0.94773,                0.96544,                0.97984,                0.72924,                0.94494,                0.72247,                 0.9039,             0.00052979,             0.00052979,             0.00052979
                     13,                 1.0641,                0.81909,                0.92767,                0.92665,                0.94372,                0.97952,                 0.7638,                0.85254,                0.68041,                0.89323,             0.00052397,             0.00052397,             0.00052397
                     14,                 1.0696,                0.83284,                0.93617,                0.95508,                0.94285,                0.97614,                0.75453,                0.85054,                0.65996,                0.89363,             0.00051815,             0.00051815,             0.00051815
                     15,                 1.0454,                0.81477,                0.92457,                0.95596,                0.95949,                0.97903,                0.76482,                0.84252,                0.62843,                0.88849,             0.00051232,             0.00051232,             0.00051232
                     16,                 1.0257,                0.75598,                0.92024,                0.93461,                0.93965,                0.97934,                0.77032,                0.84382,                0.64072,                0.89398,              0.0005065,              0.0005065,              0.0005065
                     17,                 1.0896,                0.76856,                0.93626,                0.97256,                0.96146,                0.98188,                 0.7391,                0.95097,                0.66824,                0.90221,             0.00050068,             0.00050068,             0.00050068
                     18,                  1.079,                 0.7632,                0.92822,                0.96975,                0.96862,                0.98133,                0.75919,                0.86547,                0.61356,                0.89445,             0.00049486,             0.00049486,             0.00049486
                     19,                 1.0129,                0.73618,                0.92444,                 0.9438,                0.96787,                0.97528,                0.76144,                0.81726,                 0.5937,                0.89115,             0.00048904,             0.00048904,             0.00048904
                     20,                0.99451,                0.71119,                0.91421,                0.95028,                0.96538,                 0.9765,                 0.7613,                0.87529,                 0.5875,                0.90503,             0.00048322,             0.00048322,             0.00048322
                     21,                 1.0087,                0.71663,                0.92528,                0.97103,                0.96039,                0.97913,                0.73958,                0.92418,                0.59152,                0.90102,              0.0004774,              0.0004774,              0.0004774
                     22,                 1.0107,                0.69371,                0.91965,                0.95132,                0.94996,                 0.9792,                0.75944,                 0.8902,                 0.5964,                0.89793,             0.00047158,             0.00047158,             0.00047158
                     23,                0.99645,                0.69583,                0.91743,                0.95965,                  0.965,                0.98052,                0.75788,                0.86568,                0.58401,                0.89794,             0.00046575,             0.00046575,             0.00046575
                     24,                0.99342,                0.68013,                 0.9103,                0.95225,                0.95718,                0.98112,                 0.7695,                0.87613,                0.56802,                0.89372,             0.00045993,             0.00045993,             0.00045993
                     25,                0.96273,                0.65836,                 0.9051,                0.93987,                0.97634,                 0.9819,                0.78227,                0.80063,                0.56036,                0.88462,             0.00045411,             0.00045411,             0.00045411
                     26,                0.96367,                 0.6686,                0.91478,                0.97074,                0.97337,                0.98663,                 0.7813,                0.82358,                0.55604,                 0.8849,             0.00044829,             0.00044829,             0.00044829
                     27,                0.96036,                0.66068,                 0.9093,                0.97648,                0.97512,                0.98253,                0.77197,                 0.8269,                0.57174,                0.88274,             0.00044247,             0.00044247,             0.00044247
                     28,                0.98984,                0.65377,                0.91406,                0.96742,                0.96573,                0.97814,                0.78975,                0.80273,                 0.5346,                0.88402,             0.00043665,             0.00043665,             0.00043665
                     29,                0.95922,                0.63735,                 0.9106,                0.97317,                 0.9629,                0.98418,                0.77719,                0.83241,                0.54255,                0.88752,             0.00043083,             0.00043083,             0.00043083
                     30,                0.93973,                0.62654,                0.91321,                0.96788,                0.97601,                0.98455,                0.78648,                0.79566,                0.51598,                0.88228,             0.00042501,             0.00042501,             0.00042501
                     31,                0.93088,                0.62114,                0.90612,                0.96246,                0.96469,                0.98245,                0.77167,                0.85454,                0.53276,                0.89516,             0.00041919,             0.00041919,             0.00041919
                     32,                0.93582,                0.62255,                0.89661,                0.96964,                 0.9626,                0.98207,                0.78308,                0.78647,                0.51098,                0.87783,             0.00041336,             0.00041336,             0.00041336
                     33,                0.95329,                0.62029,                0.90689,                0.97632,                0.97634,                0.98526,                0.78256,                0.80415,                0.51332,                 0.8823,             0.00040754,             0.00040754,             0.00040754
                     34,                0.91444,                0.61351,                0.90131,                0.96323,                0.98134,                0.98536,                0.78102,                0.81778,                0.51684,                  0.885,             0.00040172,             0.00040172,             0.00040172
                     35,                0.92842,                0.61651,                0.90336,                0.97778,                 0.9708,                0.98471,                0.77666,                0.81792,                0.53539,                0.88553,              0.0003959,              0.0003959,              0.0003959
                     36,                0.90512,                0.60836,                0.89653,                0.97408,                0.97158,                0.98443,                0.78322,                0.82085,                0.51987,                0.88636,             0.00039008,             0.00039008,             0.00039008
                     37,                0.90811,                 0.5952,                0.90246,                0.95982,                0.97843,                0.98555,                0.77543,                 0.8455,                0.52088,                0.88964,             0.00038426,             0.00038426,             0.00038426
                     38,                0.92304,                0.60074,                0.90546,                0.97094,                0.98013,                0.98776,                0.79121,                0.80409,                0.53003,                0.88176,             0.00037844,             0.00037844,             0.00037844
                     39,                0.90294,                0.58965,                0.90316,                0.96981,                0.98457,                 0.9851,                0.79144,                0.79152,                0.51618,                0.88252,             0.00037262,             0.00037262,             0.00037262
                     40,                 0.9231,                0.58645,                0.90893,                0.97953,                 0.9866,                0.98531,                0.77935,                0.83214,                0.50042,                0.89604,             0.00036679,             0.00036679,             0.00036679
                     41,                 0.9407,                0.59114,                0.90234,                0.97123,                0.97426,                0.98623,                0.78642,                0.81726,                0.49422,                 0.8924,             0.00036097,             0.00036097,             0.00036097
                     42,                0.87232,                0.56264,                0.89495,                 0.9753,                0.98085,                0.98617,                0.78357,                0.83827,                0.49789,                0.88467,             0.00035515,             0.00035515,             0.00035515
                     43,                0.91542,                0.58284,                0.89571,                0.98085,                0.97937,                0.98497,                0.79565,                0.79576,                0.48959,                0.88487,             0.00034933,             0.00034933,             0.00034933
                     44,                0.89063,                0.56111,                0.89528,                0.97433,                0.98482,                0.98487,                0.78596,                0.80534,                0.47213,                0.88556,             0.00034351,             0.00034351,             0.00034351
                     45,                0.88909,                0.56016,                0.89665,                0.98024,                0.99194,                 0.9854,                0.78537,                0.81811,                0.47353,                0.88599,             0.00033769,             0.00033769,             0.00033769
                     46,                0.88525,                0.55565,                0.89354,                0.98148,                0.98672,                0.98773,                0.78501,                0.82707,                0.48072,                0.88468,             0.00033187,             0.00033187,             0.00033187
                     47,                0.91085,                0.56536,                0.90615,                0.94245,                 0.9785,                0.98378,                0.78841,                0.79582,                0.50268,                0.88248,             0.00032605,             0.00032605,             0.00032605
                     48,                0.88657,                0.54696,                0.89559,                0.97479,                 0.9856,                0.98544,                0.79021,                0.78539,                0.48396,                0.88104,             0.00032022,             0.00032022,             0.00032022
                     49,                0.86971,                0.53787,                0.89777,                0.98028,                0.98231,                0.98846,                0.78972,                0.82039,                0.48189,                0.88281,              0.0003144,              0.0003144,              0.0003144
                     50,                0.88277,                0.53517,                0.89762,                0.96904,                 0.9823,                0.98794,                0.79421,                0.79853,                0.47237,                0.87889,             0.00030858,             0.00030858,             0.00030858
                     51,                0.89082,                0.55281,                0.90197,                 0.9602,                0.97305,                 0.9867,                0.79154,                0.79984,                0.48788,                0.88129,             0.00030276,             0.00030276,             0.00030276
                     52,                0.87562,                0.54715,                0.89542,                0.97113,                0.97872,                 0.9859,                0.79909,                0.79128,                0.48074,                0.88124,             0.00029694,             0.00029694,             0.00029694
                     53,                0.89175,                0.53887,                0.89917,                0.96103,                0.97637,                0.98273,                0.79206,                0.79001,                0.47194,                0.88165,             0.00029112,             0.00029112,             0.00029112
                     54,                0.86138,                 0.5321,                0.89125,                0.97389,                0.98558,                0.98499,                0.78953,                 0.8033,                0.45877,                0.88039,              0.0002853,              0.0002853,              0.0002853
                     55,                0.87412,                0.52927,                0.89378,                 0.9821,                0.97788,                 0.9854,                0.78031,                0.82407,                0.46547,                0.88441,             0.00027948,             0.00027948,             0.00027948
                     56,                0.86324,                0.51707,                0.89004,                 0.9791,                0.96362,                0.98409,                0.79446,                0.77407,                0.45639,                0.87942,             0.00027366,             0.00027366,             0.00027366
                     57,                 0.8666,                0.52357,                0.89796,                0.97934,                0.98427,                0.98496,                0.79338,                0.77543,                0.45615,                0.87843,             0.00026783,             0.00026783,             0.00026783
                     58,                0.85434,                0.52015,                0.89522,                0.98238,                0.98375,                0.98582,                0.79187,                0.80104,                0.45904,                0.87988,             0.00026201,             0.00026201,             0.00026201
                     59,                0.86667,                0.52945,                0.89585,                0.98217,                0.98138,                0.98546,                0.79866,                0.77645,                0.44698,                 0.8784,             0.00025619,             0.00025619,             0.00025619
                     60,                0.85574,                0.52274,                0.89357,                0.98047,                0.98771,                0.98656,                0.78447,                0.81659,                0.44958,                0.88223,             0.00025037,             0.00025037,             0.00025037
                     61,                 0.8456,                0.51478,                0.88694,                 0.9823,                0.98242,                0.98557,                0.79158,                0.80045,                 0.4547,                 0.8861,             0.00024455,             0.00024455,             0.00024455
                     62,                0.86425,                0.51477,                0.89388,                0.96661,                 0.9792,                0.98561,                0.79274,                0.79639,                0.45269,                 0.8816,             0.00023873,             0.00023873,             0.00023873
                     63,                0.85674,                0.51047,                0.88945,                0.97881,                0.97332,                0.98639,                0.79994,                0.76778,                0.45388,                0.87569,             0.00023291,             0.00023291,             0.00023291
                     64,                0.85174,                 0.5064,                0.88992,                0.96942,                 0.9839,                0.98603,                0.78735,                0.80479,                0.44652,                0.88292,             0.00022709,             0.00022709,             0.00022709
                     65,                 0.8391,                0.49343,                0.88559,                0.98259,                0.98164,                0.98668,                0.79399,                0.78565,                0.44411,                0.88088,             0.00022126,             0.00022126,             0.00022126
                     66,                0.83415,                0.49792,                0.88586,                0.98211,                0.97461,                0.98711,                0.79902,                 0.7915,                0.44138,                0.87898,             0.00021544,             0.00021544,             0.00021544
                     67,                0.83954,                0.50268,                0.89009,                 0.9701,                0.95542,                0.98515,                0.79503,                0.79308,                0.45284,                0.87893,             0.00020962,             0.00020962,             0.00020962
                     68,                0.83782,                0.50004,                0.88253,                0.96607,                0.97274,                0.98424,                0.79298,                0.79035,                0.45017,                0.87908,              0.0002038,              0.0002038,              0.0002038
                     69,                0.83689,                0.49671,                 0.8926,                0.97456,                0.98084,                0.98614,                0.79917,                0.78739,                0.43334,                0.88026,             0.00019798,             0.00019798,             0.00019798
                     70,                0.85162,                0.50153,                0.90096,                 0.9816,                0.98042,                0.98594,                0.79362,                0.78752,                 0.4365,                0.88007,             0.00019216,             0.00019216,             0.00019216
                     71,                0.83219,                0.49486,                0.88377,                0.98376,                0.98448,                 0.9868,                0.79242,                0.79263,                0.44021,                0.88057,             0.00018634,             0.00018634,             0.00018634
                     72,                0.82084,                0.48752,                0.88077,                0.98543,                0.98288,                0.98868,                0.79198,                0.79278,                0.44399,                0.88179,             0.00018052,             0.00018052,             0.00018052
                     73,                0.82323,                0.48833,                0.89147,                0.97479,                0.97079,                0.98739,                0.79586,                0.78905,                0.43593,                 0.8803,             0.00017469,             0.00017469,             0.00017469
                     74,                0.81163,                 0.4857,                0.87776,                0.98174,                 0.9856,                0.98872,                0.78601,                0.81972,                0.43759,                0.88726,             0.00016887,             0.00016887,             0.00016887
                     75,                0.80045,                0.48153,                0.88284,                0.98183,                0.98384,                0.98693,                0.79146,                0.79491,                0.43294,                0.88286,             0.00016305,             0.00016305,             0.00016305
                     76,                 0.8074,                0.48461,                0.87939,                0.98351,                0.98388,                0.98634,                0.79475,                0.79271,                0.42527,                0.88363,             0.00015723,             0.00015723,             0.00015723
                     77,                0.79284,                0.47442,                0.87836,                0.98082,                0.97507,                0.98575,                0.79514,                0.80248,                 0.4305,                0.88401,             0.00015141,             0.00015141,             0.00015141
                     78,                0.80162,                0.48148,                 0.8817,                0.97637,                0.98188,                0.98531,                0.78939,                0.81022,                0.43189,                0.88614,             0.00014559,             0.00014559,             0.00014559
                     79,                0.80356,                0.47168,                0.88035,                0.97057,                0.98543,                0.98573,                0.79578,                0.78394,                0.42816,                 0.8793,             0.00013977,             0.00013977,             0.00013977
                     80,                0.78666,                0.46981,                0.87586,                0.98225,                0.98458,                0.98678,                0.79274,                0.79837,                0.42084,                0.88408,             0.00013395,             0.00013395,             0.00013395
                     81,                0.79778,                 0.4714,                0.88174,                0.98433,                0.98313,                 0.9858,                0.79059,                0.80117,                0.42155,                0.88278,             0.00012813,             0.00012813,             0.00012813
                     82,                0.80177,                0.47178,                0.88194,                  0.984,                 0.9857,                0.98869,                 0.7937,                0.79033,                0.41942,                0.88027,              0.0001223,              0.0001223,              0.0001223
                     83,                0.78922,                0.46676,                0.87435,                 0.9805,                0.98609,                0.98778,                0.80196,                0.77756,                0.41457,                0.88029,             0.00011648,             0.00011648,             0.00011648
                     84,                0.79124,                0.46442,                0.88084,                0.96978,                0.98221,                0.98777,                0.80257,                0.77066,                0.41543,                0.87795,             0.00011066,             0.00011066,             0.00011066
                     85,                0.78632,                 0.4639,                0.87439,                0.98353,                0.97766,                0.98903,                0.79872,                0.78103,                0.41428,                 0.8808,             0.00010484,             0.00010484,             0.00010484
                     86,                0.80175,                0.47023,                0.88132,                0.97743,                0.98118,                0.98943,                0.80384,                0.76831,                0.41449,                0.87893,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     87,                 0.7746,                0.46076,                0.87127,                0.97869,                0.98034,                0.98961,                0.79792,                0.78171,                0.41866,                 0.8809,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     88,                 0.7785,                0.45876,                0.87549,                0.97824,                0.97977,                0.98835,                 0.7991,                0.78177,                0.41966,                0.88032,             8.7377e-05,             8.7377e-05,             8.7377e-05
                     89,                0.78069,                0.46465,                0.87556,                 0.9814,                0.97952,                 0.9865,                0.78965,                0.80624,                0.42347,                 0.8874,             8.1556e-05,             8.1556e-05,             8.1556e-05
                     90,                0.78685,                0.46262,                0.87737,                0.98202,                0.98061,                0.98824,                0.79844,                0.78424,                0.41446,                0.88055,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     91,                0.76257,                0.43939,                0.88709,                 0.9731,                0.98552,                 0.9879,                0.79197,                0.80639,                0.42033,                0.88622,             6.9913e-05,             6.9913e-05,             6.9913e-05
                     92,                0.75215,                0.43301,                0.88477,                0.97647,                0.98508,                0.98732,                0.79261,                0.79924,                0.42113,                0.88274,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     93,                0.74187,                 0.4271,                0.88009,                0.98158,                0.98202,                0.98778,                0.80115,                 0.7821,                0.41512,                0.87977,             5.8271e-05,             5.8271e-05,             5.8271e-05
                     94,                0.73348,                0.42191,                0.87251,                0.98394,                0.98142,                0.98723,                0.79539,                 0.7933,                0.41417,                0.88196,              5.245e-05,              5.245e-05,              5.245e-05
                     95,                 0.7269,                0.41402,                0.87725,                0.97829,                0.97739,                0.98705,                0.79983,                0.78158,                0.41225,                0.87859,             4.6628e-05,             4.6628e-05,             4.6628e-05
                     96,                0.73215,                0.41631,                0.87828,                  0.966,                0.98138,                0.98732,                0.79939,                  0.783,                0.41245,                0.88031,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     97,                 0.7179,                0.41193,                0.86755,                0.97809,                0.97574,                0.98842,                0.80137,                0.77712,                0.41225,                0.87829,             3.4986e-05,             3.4986e-05,             3.4986e-05
                     98,                0.73326,                0.42039,                0.87372,                0.98299,                0.97638,                0.98854,                 0.7983,                0.78251,                0.40917,                0.87944,             2.9165e-05,             2.9165e-05,             2.9165e-05
                     99,                0.72614,                0.41491,                0.87679,                 0.9803,                 0.9792,                0.98753,                0.80176,                0.78001,                0.41021,                0.87912,             2.3344e-05,             2.3344e-05,             2.3344e-05
                    100,                0.71548,                0.40708,                0.87357,                0.98136,                0.97744,                 0.9879,                0.80351,                0.77934,                0.41188,                0.87929,             1.7522e-05,             1.7522e-05,             1.7522e-05
