                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.7758,                 8.6125,                 2.9615,                      0,                      0,                      0,                      0,                 5.8623,                 8.8016,                 2.8695,                0.00012,                0.00012,                0.00012
                      2,                 5.0723,                 6.1215,                 2.0593,                0.00033,                  0.025,                 0.0002,                  6e-05,                 4.3541,                 5.3909,                 1.4506,             0.00025743,             0.00025743,             0.00025743
                      3,                 4.0094,                 4.3599,                 1.4932,                  0.002,                   0.15,                0.00185,                0.00035,                 3.6209,                 4.6374,                 1.3029,             0.00039208,             0.00039208,             0.00039208
                      4,                  3.807,                 3.6591,                 1.3751,                  0.002,                   0.15,                0.00185,                0.00065,                 3.3616,                 4.4581,                  1.219,             0.00052396,             0.00052396,             0.00052396
                      5,                 3.3853,                 3.1543,                 1.2669,                0.00333,                   0.25,                0.00659,                0.00179,                 2.9121,                 4.0762,                 1.1195,             0.00065307,             0.00065307,             0.00065307
                      6,                 3.1108,                 2.7654,                 1.2547,                  0.005,                  0.375,                0.00593,                 0.0018,                 2.6239,                 3.8914,                 1.0859,             0.00077941,             0.00077941,             0.00077941
                      7,                 3.0974,                  2.512,                 1.2302,                0.00633,                  0.475,                0.00872,                0.00299,                 2.9611,                 3.9721,                 1.0534,             0.00090298,             0.00090298,             0.00090298
                      8,                 2.8555,                 2.3427,                 1.1289,                   0.01,                   0.75,                0.19215,                 0.0862,                 2.5402,                 3.4118,                 1.0087,              0.0010238,              0.0010238,              0.0010238
                      9,                 2.7152,                 2.1294,                 1.1013,                0.27698,                  0.075,                0.14116,                0.04793,                 2.5087,                 3.1012,                 1.0213,              0.0011418,              0.0011418,              0.0011418
                     10,                 2.6296,                 2.1482,                 1.0745,                0.12386,                  0.075,                0.09552,                0.03635,                 2.4277,                 2.9575,                 0.9953,               0.001257,               0.001257,               0.001257
                     11,                 2.5913,                 2.0458,                 1.0819,                0.60269,                    0.1,                0.16821,                0.05334,                 2.6189,                 2.8798,                 1.0375,              0.0013695,              0.0013695,              0.0013695
                     12,                 2.6011,                 1.9732,                 1.0614,                0.35711,                  0.125,                0.12712,                0.02706,                 2.7701,                 2.8704,                 1.1643,              0.0014792,              0.0014792,              0.0014792
                     13,                 2.4646,                 1.7973,                 1.0261,                0.25634,                0.27578,                0.11641,                0.03417,                 2.6006,                 3.0886,                 1.0819,              0.0015862,              0.0015862,              0.0015862
                     14,                 2.4853,                 1.8548,                 1.0576,                0.45497,                  0.275,                0.21866,                0.06722,                 2.8198,                 2.4877,                 1.1197,              0.0016903,              0.0016903,              0.0016903
                     15,                 2.4896,                 1.7459,                 1.0321,                0.49336,                   0.25,                 0.2391,                 0.0926,                 2.6973,                 2.3111,                 1.0997,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.3725,                 1.7413,                 1.0456,                0.44317,                  0.325,                0.27048,                0.10745,                 2.6334,                 1.8945,                 1.1273,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.5056,                 1.7932,                 1.0619,                0.70257,                0.47252,                0.47877,                0.13935,                 2.4489,                 1.9163,                  1.048,               0.001703,               0.001703,               0.001703
                     18,                 2.2708,                 1.6776,                 1.0275,                0.73112,                    0.5,                0.50803,                 0.1973,                 2.1765,                  1.833,                0.94609,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.3028,                 1.6153,                 1.0186,                0.39979,                   0.45,                0.39272,                0.13891,                 2.3498,                 2.0605,                0.95785,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.3764,                   1.65,                 1.0145,                 0.6717,                  0.525,                0.55099,                0.18321,                  2.315,                  1.541,                0.95601,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.2192,                  1.462,                 1.0019,                0.66171,                   0.45,                0.48469,                0.15329,                 2.5193,                 1.5857,                0.98454,              0.0016238,              0.0016238,              0.0016238
                     22,                 2.2884,                 1.4993,                0.98684,                0.89098,                    0.5,                0.56103,                0.19254,                 2.5495,                 1.6061,                0.98803,               0.001604,               0.001604,               0.001604
                     23,                 2.3083,                 1.5138,                0.99681,                0.74486,                  0.657,                0.72275,                0.25433,                 2.3386,                 1.4484,                0.96219,              0.0015842,              0.0015842,              0.0015842
                     24,                 2.2353,                 1.4688,                 1.0172,                0.69255,                  0.675,                0.66278,                0.27218,                 2.1202,                 1.3947,                0.95049,              0.0015644,              0.0015644,              0.0015644
                     25,                 2.3062,                 1.4975,                0.99799,                0.88118,                  0.575,                 0.6883,                 0.2575,                  2.121,                 1.4867,                0.93948,              0.0015446,              0.0015446,              0.0015446
                     26,                 2.3513,                 1.5404,                 1.0143,                0.74971,                  0.575,                0.62481,                0.24232,                 2.0852,                 1.4497,                0.96343,              0.0015248,              0.0015248,              0.0015248
                     27,                 2.2845,                 1.5549,                 1.0199,                0.49567,                   0.55,                0.44834,                0.13216,                 2.4863,                 1.6484,                 1.0572,               0.001505,               0.001505,               0.001505
                     28,                  2.254,                 1.3729,                0.97194,                0.70253,                  0.625,                0.61942,                0.21715,                 2.4032,                 1.3902,                 1.0113,              0.0014852,              0.0014852,              0.0014852
                     29,                 2.2355,                 1.4203,                0.99418,                0.78594,                0.64268,                0.65465,                 0.2278,                  2.381,                 1.4389,                 1.0051,              0.0014654,              0.0014654,              0.0014654
                     30,                 2.1677,                 1.3584,                 1.0012,                0.69769,                0.63484,                0.62303,                0.20743,                 2.4657,                 1.4701,                 1.0467,              0.0014456,              0.0014456,              0.0014456
                     31,                   2.11,                  1.299,                0.99007,                0.78517,                    0.6,                0.62758,                0.24358,                 2.2444,                 1.2995,                0.98486,              0.0014258,              0.0014258,              0.0014258
                     32,                 2.2167,                 1.3612,                0.98642,                0.79644,                0.58708,                0.67088,                0.23187,                 2.2426,                 1.4161,                0.95269,               0.001406,               0.001406,               0.001406
                     33,                 2.0807,                 1.2893,                0.97351,                0.90612,                  0.625,                 0.7132,                0.23783,                 2.0977,                 1.3647,                 0.9474,              0.0013862,              0.0013862,              0.0013862
                     34,                  2.155,                 1.4413,                 1.0061,                0.91312,                   0.65,                0.73419,                0.28196,                 2.0738,                  1.338,                0.93576,              0.0013664,              0.0013664,              0.0013664
                     35,                 2.2042,                 1.3171,                0.98564,                0.90807,                0.74101,                0.80611,                0.33048,                 1.9904,                 1.2222,                0.91143,              0.0013466,              0.0013466,              0.0013466
                     36,                 2.0918,                  1.265,                0.96944,                0.87166,                   0.75,                0.76094,                0.29166,                 2.0003,                 1.2595,                0.92106,              0.0013268,              0.0013268,              0.0013268
                     37,                 2.0804,                 1.2699,                0.96627,                0.78232,                    0.7,                0.68932,                 0.2851,                 1.9778,                 1.2599,                0.93813,               0.001307,               0.001307,               0.001307
                     38,                  2.141,                   1.23,                0.98207,                0.91956,                  0.775,                0.83004,                 0.3219,                 1.8367,                 1.1773,                0.89495,              0.0012872,              0.0012872,              0.0012872
                     39,                 2.0454,                 1.1965,                0.97056,                0.94228,                0.81647,                0.91507,                0.30352,                 1.8852,                  1.206,                  0.902,              0.0012674,              0.0012674,              0.0012674
                     40,                 2.0378,                 1.1849,                0.98046,                0.78716,                  0.675,                0.71795,                0.26238,                 1.9914,                 1.2793,                0.92941,              0.0012476,              0.0012476,              0.0012476
                     41,                 2.0883,                  1.189,                0.97756,                0.70606,                0.66073,                0.66706,                0.23407,                 2.0404,                 1.3142,                0.93121,              0.0012278,              0.0012278,              0.0012278
                     42,                  2.148,                 1.1981,                0.97478,                 0.5755,                    0.6,                0.53247,                0.21574,                 2.1014,                 1.3985,                0.93881,               0.001208,               0.001208,               0.001208
                     43,                 2.1426,                 1.2239,                0.95644,                0.65206,                  0.725,                0.76637,                0.24498,                 2.1477,                 1.3535,                 0.9312,              0.0011882,              0.0011882,              0.0011882
                     44,                 2.0227,                 1.1852,                0.96328,                0.72754,                0.66771,                0.62693,                 0.2208,                 2.1935,                 1.3263,                0.96446,              0.0011684,              0.0011684,              0.0011684
                     45,                 2.3177,                 1.2436,                 0.9824,                0.76565,                0.73525,                0.67786,                0.22108,                 2.1972,                 1.2925,                0.96654,              0.0011486,              0.0011486,              0.0011486
                     46,                 2.1711,                 1.2033,                0.96154,                0.78565,                 0.7332,                0.77269,                0.30053,                  1.979,                  1.191,                0.91677,              0.0011288,              0.0011288,              0.0011288
                     47,                 2.0872,                 1.2189,                0.95144,                0.86094,                  0.775,                0.85137,                0.30473,                 2.0176,                 1.1748,                0.91626,               0.001109,               0.001109,               0.001109
                     48,                  1.956,                 1.1804,                0.95328,                0.79449,                0.77324,                0.70816,                0.26389,                  2.105,                 1.1369,                0.94692,              0.0010892,              0.0010892,              0.0010892
                     49,                 2.0713,                 1.1284,                0.97375,                0.79565,                   0.75,                0.67181,                0.26247,                 2.1104,                 1.1101,                0.95072,              0.0010694,              0.0010694,              0.0010694
                     50,                 2.0335,                 1.1318,                0.95747,                0.86171,                    0.8,                0.77315,                0.31546,                 1.9476,                 1.0589,                0.91021,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.9855,                 1.1158,                0.93619,                0.93691,                 0.7427,                0.84041,                0.35186,                 1.8029,                 1.1225,                0.89878,              0.0010298,              0.0010298,              0.0010298
                     52,                 2.0644,                 1.1858,                 0.9462,                0.83648,                  0.725,                0.77024,                0.33793,                 1.9651,                 1.1265,                0.91761,                0.00101,                0.00101,                0.00101
                     53,                 2.0253,                 1.1399,                0.94799,                0.79789,                0.78973,                0.78351,                0.31249,                 1.9771,                 1.1134,                 0.9219,              0.0009902,              0.0009902,              0.0009902
                     54,                 2.0033,                 1.1083,                0.94947,                0.82624,                  0.775,                0.82738,                0.27795,                 1.9913,                 1.1394,                0.91321,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.8782,                 1.0683,                0.94921,                0.86981,                0.83526,                0.84657,                0.29673,                 1.9713,                 1.1913,                0.90722,              0.0009506,              0.0009506,              0.0009506
                     56,                  1.985,                  1.126,                0.96518,                0.86815,                   0.75,                0.79871,                 0.2923,                 1.8933,                 1.1702,                0.90574,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.9671,                 1.1292,                0.93156,                0.88507,                0.77019,                0.80139,                0.33176,                  1.785,                 1.1034,                0.89476,               0.000911,               0.000911,               0.000911
                     58,                 1.9633,                 1.1203,                 0.9402,                0.87481,                  0.775,                0.84176,                0.36789,                 1.7331,                 1.0727,                0.89124,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.9755,                  1.054,                0.94592,                 0.9088,                  0.825,                0.87266,                0.37349,                 1.7826,                 1.0085,                0.88312,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.9194,                  1.062,                0.93428,                0.91297,                   0.85,                0.88415,                0.36407,                 1.8615,                 1.0165,                0.89295,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.9188,                 1.0727,                0.94368,                0.88017,                  0.825,                0.82755,                0.34823,                 1.8849,                 1.0114,                 0.9007,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.9931,                 1.0613,                0.95333,                0.87858,                  0.825,                0.81825,                0.34649,                  1.899,                 1.0548,                0.90602,               0.000812,               0.000812,               0.000812
                     63,                   1.93,                 1.0594,                0.95161,                0.85718,                0.75022,                0.77237,                0.30789,                 2.0364,                  1.068,                0.92475,              0.0007922,              0.0007922,              0.0007922
                     64,                   1.98,                 1.0475,                0.94568,                0.88726,                0.78721,                0.83108,                0.31387,                 2.0433,                 1.0346,                0.92173,              0.0007724,              0.0007724,              0.0007724
                     65,                  1.958,                 1.0139,                0.92756,                0.86172,                  0.775,                0.83659,                0.30979,                 1.9909,                 1.0246,                0.91105,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.9189,                 1.0848,                0.94637,                0.84722,                0.69331,                0.69505,                0.28881,                 2.0126,                 1.0662,                0.91487,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.9956,                 1.1176,                0.94941,                0.96146,                   0.75,                0.86902,                0.31586,                 1.9957,                 1.0505,                0.90941,               0.000713,               0.000713,               0.000713
                     68,                 1.9825,                 1.0241,                0.93026,                0.86385,                   0.75,                0.82942,                0.30355,                 2.0044,                 1.0854,                 0.9089,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.9389,                 1.0892,                 0.9559,                0.78684,                0.83063,                0.84008,                0.31876,                 1.9877,                 1.0808,                0.90943,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.9388,                 1.0642,                0.94124,                0.81817,                    0.9,                0.86046,                0.33302,                 1.9781,                   1.11,                0.90917,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.9802,                 1.0746,                0.95352,                0.90816,                0.74178,                0.85212,                0.32526,                 1.9282,                  1.086,                0.90267,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.9271,                 1.0213,                0.93664,                      1,                0.79349,                0.93461,                0.31482,                 1.9119,                 1.0568,                0.89119,               0.000614,               0.000614,               0.000614
                     73,                 1.8992,                 1.0277,                0.93354,                0.99364,                    0.8,                0.93042,                0.33085,                 1.8941,                  1.052,                0.88672,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.9623,                 1.0267,                0.96013,                0.84787,                0.69677,                0.74952,                0.31564,                 1.8757,                 1.0461,                0.89527,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.8519,                0.99415,                0.95771,                  0.848,                0.69742,                0.75155,                0.31192,                 1.9764,                 1.0083,                0.91212,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.9157,                 1.0076,                0.93838,                0.93361,                  0.775,                0.87242,                0.30761,                 2.0191,                 1.0239,                0.91229,              0.0005348,              0.0005348,              0.0005348
                     77,                   1.87,                 1.0048,                 0.9465,                0.91374,                 0.7946,                0.87605,                0.31892,                 1.9712,                 1.0247,                0.90614,               0.000515,               0.000515,               0.000515
                     78,                  1.877,                 1.0013,                0.91906,                0.89288,                  0.825,                0.87158,                0.31738,                 1.8985,                 1.0217,                0.89601,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.9242,                0.98929,                0.93697,                0.84858,                  0.775,                0.78024,                0.32966,                 1.8639,                0.98923,                0.89593,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.9109,                0.99361,                0.92645,                0.86121,                    0.8,                0.81956,                0.33925,                 1.9115,                 1.0294,                0.90443,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.8416,                0.96292,                0.90928,                0.90909,                   0.75,                0.82071,                0.33521,                 1.9259,                 1.0317,                0.90731,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.8978,                  1.005,                0.92283,                0.88708,                0.78577,                0.83472,                0.32797,                 1.8972,                0.99999,                0.90112,               0.000416,               0.000416,               0.000416
                     83,                 1.8478,                0.99248,                0.90476,                0.87425,                  0.825,                0.85251,                 0.3299,                 1.8421,                0.98882,                0.88718,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.7544,                0.95167,                0.92197,                0.85908,                  0.825,                0.85265,                0.33836,                 1.8135,                0.96988,                0.87885,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.8518,                0.98478,                0.91587,                0.89585,                 0.8603,                0.86648,                0.34799,                 1.8062,                0.95789,                0.87971,              0.0003566,              0.0003566,              0.0003566
                     86,                  1.838,                0.95183,                0.92874,                0.85904,                   0.85,                 0.8241,                0.33504,                 1.8661,                0.96863,                0.89214,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.9066,                0.94905,                0.93281,                0.88877,                 0.7991,                0.80193,                0.30957,                 1.9566,                0.99481,                0.90268,               0.000317,               0.000317,               0.000317
                     88,                 1.8158,                0.92827,                0.91201,                0.86002,                0.76816,                0.78933,                0.31395,                 1.9329,                0.97866,                0.89887,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.7508,                0.93188,                0.91117,                0.86009,                0.76859,                0.78994,                0.30905,                 1.8984,                0.96778,                0.89529,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.7973,                0.93898,                0.92212,                 0.7983,                    0.8,                0.79676,                0.32831,                 1.8402,                0.95961,                0.88869,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.7993,                 1.0282,                0.89793,                0.87401,                0.86726,                0.83496,                0.32784,                 1.8382,                0.93898,                0.88985,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.8044,                0.96716,                0.90777,                0.85145,                  0.875,                0.84124,                0.33668,                 1.8382,                0.91439,                0.89234,               0.000218,               0.000218,               0.000218
                     93,                 1.8245,                0.99252,                0.91506,                0.87201,                  0.875,                0.84318,                0.34318,                 1.8371,                0.90468,                0.89393,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.8678,                 1.0184,                0.91714,                 0.8671,                  0.875,                0.84274,                0.35306,                 1.8302,                0.89288,                0.89393,              0.0001784,              0.0001784,              0.0001784
                     95,                  1.802,                 0.9544,                0.92141,                  0.869,                  0.875,                0.84211,                0.37745,                 1.8078,                0.87625,                 0.8902,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.8023,                0.96466,                0.90139,                0.86758,                  0.875,                0.83539,                0.36573,                 1.7829,                0.87429,                0.88528,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.7544,                0.95299,                0.89665,                0.87788,                  0.875,                0.83742,                0.37727,                 1.7759,                0.87823,                0.88393,               0.000119,               0.000119,               0.000119
                     98,                 1.8055,                0.95984,                0.90305,                0.92282,                0.89682,                0.87573,                0.37963,                 1.7703,                0.88527,                0.88214,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.8622,                0.94649,                0.89951,                0.85099,                0.85674,                0.85454,                0.37245,                 1.7756,                0.88605,                0.88131,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.7651,                0.93139,                0.90876,                0.85202,                0.86379,                0.85167,                0.37359,                 1.7881,                0.88908,                0.88182,               5.96e-05,               5.96e-05,               5.96e-05
